Wavelength,FAM sox2 (Donor Only) Intensities
510,3.42194
511,3.96973
512,4.16473
513,4.3808
514,4.59839
515,4.77661
516,4.91333
517,5.07721
518,5.17822
519,5.28656
520,5.31677
521,5.39581
522,5.38086
523,5.40649
524,5.36713
525,5.34576
526,5.29144
527,5.19989
528,5.08484
529,5.00397
530,4.86847
531,4.77661
532,4.60571
533,4.50714
534,4.34357
535,4.22882
536,4.04663
537,3.909
538,3.74878
539,3.65295
540,3.51624
541,3.37799
542,3.25043
543,3.15613
544,2.99408
545,2.89825
546,2.7652
547,2.68219
548,2.57141
549,2.48444
550,2.39441
551,2.33368
552,2.23877
553,2.17682
554,2.07703
555,2.03247
556,1.94672
557,1.88568
558,1.82648
559,1.76086
560,1.71356
561,1.6571
562,1.59912
563,1.57043
564,1.50543
565,1.46973
566,1.427
567,1.38885
568,1.33301
569,1.29425
570,1.26007
571,1.23322
572,1.19354
573,1.16577
574,1.13464
575,1.10291
576,1.06598
577,1.05377
578,1.02173
579,0.993347
580,0.969238
581,0.949707
582,0.917358
583,0.900879
584,0.872498
585,0.835571
586,0.803528
587,0.77179
588,0.744324
589,0.710449
590,0.677795
591,0.643311
592,0.600586
593,0.574341
594,0.543518
595,0.515137
596,0.487976
597,0.462952
598,0.449524
599,0.422668
600,0.401611
